State,Percent of Graduates Tested,Average Composite Score,Percent Meeting English Benchmark,Percent Meeting Reading Benchmark,Percent Meeting Math Benchmark,Percent Meeting Science Benchmark,STATEFP
Alabama,100%,19.1,51%,35%,23%,24%,1
Alaska,33%,20.8,60%,49%,42%,36%,2
Arizona,66%,19.2,47%,35%,32%,27%,3
Arkansas,100%,19.4,53%,36%,27%,26%,4
California,27%,22.7,72%,56%,53%,46%,5
Colordo,30%,23.9,82%,65%,61%,57%,6
Connecticu,26%,25.6,90%,75%,71%,67%,7
Delaware,17%,23.8,79%,64%,59%,56%,8
Florida,66%,19.9,53%,43%,32%,29%,9
Georgia,53%,21.4,65%,49%,40%,38%,10
Hawaii,89%,18.9,48%,32%,28%,24%,11
Idaho,36%,22.3,73%,58%,49%,46%,12
Illinois,43%,23.9,82%,64%,61%,55%,13
Indiana,32%,22.5,73%,57%,53%,47%,14
Iowa,68%,21.8,70%,54%,44%,45%,15
Kansas,71%,21.6,67%,52%,44%,41%,16
Kentucky,100%,20.2,59%,43%,33%,32%,17
Louisiana,100%,19.2,53%,35%,24%,25%,18
Maine,7%,24,84%,69%,64%,56%,19
Maryland,31%,22.5,69%,57%,50%,47%,20
Massachusetts,25%,25.5,88%,74%,74%,65%,21
Michigan,22%,24.4,84%,67%,65%,60%,22
Minnesota,99%,21.3,60%,48%,47%,42%,23
Mississippi,100%,18.6,47%,29%,21%,20%,24
Missouri,100%,20,56%,41%,33%,32%,25
Montana,100%,20,52%,41%,35%,32%,26
Nebraska,100%,20.1,56%,40%,35%,33%,27
Nevada,100%,17.7,38%,27%,21%,18%,28
New Hampshir,16%,25.1,88%,73%,72%,64%,29
New Jersey,31%,23.7,79%,63%,62%,53%,30
New Mexico,67%,19.4,48%,37%,28%,27%,31
New York,27%,24.5,83%,68%,67%,62%,32
North Carolina,100%,19.1,46%,35%,31%,25%,33
North Dakota,98%,20.3,57%,43%,39%,34%,34
Ohio,100%,20.3,55%,43%,38%,35%,35
Oklahoma,100%,19.3,50%,39%,26%,26%,36
Oregon,42%,21.3,63%,49%,43%,40%,37
Pennsylvania,20%,23.5,80%,64%,60%,55%,38
Rhode Island,15%,24.2,85%,69%,64%,58%,39
South Carolina,100%,18.3,42%,30%,24%,20%,40
South Dakota,77%,21.9,68%,54%,49%,49%,41
Tennessee,100%,19.6,54%,38%,28%,28%,42
Texas,41%,20.6,56%,44%,39%,35%,43
Utah,100%,20.4,58%,43%,36%,34%,44
Vermont,24%,24.1,83%,69%,63%,60%,45
Virginia,24%,23.9,80%,66%,60%,57%,46
Washington,24%,22.2,65%,54%,52%,47%,47
West Virginia,65%,20.3,61%,46%,30%,32%,48
Wisconsin,100%,20.5,59%,42%,40%,36%,49
Wyoming,100%,20,55%,41%,33%,33%,50
